代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
601163,三角轮胎,15.43,2.86,4.27,有,形态已成
002331,皖通科技,10.01,1.77,4.66,有,形态已成
603033,三维股份,11.26,1.7,4.59,有,形态已成
603201,XD常润股,18.03,1.67,4.52,有,形态已成
002584,西陇科学,9.88,1.66,4.79,有,形态已成
603966,法兰泰克,12.7,1.65,-0.16,无,形态已成
600101,明星电力,10.1,1.65,4.66,有,形态已成
002591,恒大高新,7.88,1.62,4.93,无,形态已成
603801,志邦家居,9.77,1.61,4.25,有,形态已成
002962,五方光电,15.59,1.58,4.59,无,形态已成
002852,道道全,11.41,1.56,4.09,有,形态已成
603332,苏州龙杰,14.27,1.55,4.56,无,形态已成
600469,风神股份,7.07,1.55,3.36,有,形态已成
600054,黄山旅游,11.89,1.52,2.98,有,形态已成
002579,中京电子,12.84,1.52,3.98,无,形态已成
603299,苏盐井神,11.15,1.51,4.23,有,形态已成
603317,天味食品,13.24,1.51,3.58,有,形态已成
000795,英洛华,10.66,1.5,3.92,有,形态已成
002576,通达动力,18.47,1.48,4.53,无,形态已成
000425,徐工机械,10.91,1.48,-3.6,有,形态已成
000928,中钢国际,6.8,1.48,2.66,有,形态已成
002688,金河生物,6.39,1.48,3.73,有,形态已成
000925,众合科技,9.44,1.44,4.15,无,形态已成
600234,科新发展,13.56,1.44,3.01,有,形态已成
603466,风语筑,9.69,1.41,-1.1,有,形态已成
002538,司尔特,6.88,1.41,4.5,无,形态已成
002106,莱宝高科,11.73,1.39,4.4,有,形态已成
600866,星湖科技,7.44,1.39,4.64,无,形态已成
000821,京山轻机,13.95,1.39,3.41,无,形态已成
002139,拓邦股份,14.41,1.39,2.81,无,形态已成
603111,康尼机电,7.26,1.38,3.04,有,形态已成
603328,依顿电子,11.85,1.38,4.42,有,形态已成
603918,金桥信息,17.85,1.37,4.84,有,形态已成
002461,珠江啤酒,9.73,1.37,2.16,有,形态已成
002221,东华能源,8.62,1.36,4.56,无,形态已成
000600,建投能源,8.84,1.36,1.12,有,形态已成
002587,奥拓电子,7.17,1.36,4.03,有,形态已成
603118,共进股份,12.21,1.35,3.16,有,形态已成
002186,全 聚 德,12.3,1.35,2.31,有,形态已成
601956,东贝集团,7.59,1.33,4.06,有,形态已成
603515,欧普照明,19.37,1.33,3.96,有,形态已成
000957,中通客车,11.84,1.32,3.46,无,形态已成
002090,金智科技,12.87,1.32,3.39,有,形态已成
000157,中联重科,8.87,1.31,2.21,有,形态已成
603788,宁波高发,17.12,1.3,3.32,无,形态已成
000610,西安旅游,12.99,1.3,1.88,有,形态已成
603697,有友食品,13.4,1.29,3.96,有,形态已成
600528,中铁工业,8.55,1.29,2.52,无,形态已成
000598,兴蓉环境,7.33,1.28,2.2,无,形态已成
600028,中国石化,6.15,1.27,2.09,无,形态已成
002209,达 意 隆,16.96,1.27,3.05,有,形态已成
603187,海容冷链,16.41,1.26,3.83,有,形态已成
600115,中国东航,5.88,1.25,0.72,无,形态已成
600198,大唐电信,10.61,1.25,1.22,有,形态已成
600703,三安光电,15.64,1.25,4.39,无,形态已成
600064,南京高科,9.02,1.25,3.23,无,形态已成
002041,登海种业,9.89,1.25,2.04,有,形态已成
002449,国星光电,9.14,1.25,4.7,有,形态已成
600710,苏美达,11.4,1.24,3.52,有,形态已成
601369,陕鼓动力,10.49,1.24,2.04,有,形态已成
600116,三峡水利,6.8,1.23,2.6,无,形态已成
002845,同兴达,15.28,1.22,4.09,有,形态已成
002823,凯中精密,17.26,1.22,4.0,有,形态已成
000970,中科三环,14.66,1.22,4.73,有,形态已成
603025,大豪科技,19.38,1.22,4.82,无,形态已成
600029,南方航空,7.68,1.21,-0.54,无,形态已成
002014,永新股份,12.11,1.21,1.85,有,形态已成
601827,三峰环境,8.92,1.2,4.25,有,形态已成
600350,山东高速,9.84,1.2,1.26,有,形态已成
603043,广州酒家,17.87,1.2,1.12,有,形态已成
603586,金麒麟,19.87,1.19,3.16,无,形态已成
601857,中国石油,9.83,1.19,-1.23,无,形态已成
001338,永顺泰,12.69,1.18,2.85,有,形态已成
001239,永达股份,17.26,1.18,3.55,有,形态已成
601007,金陵饭店,8.17,1.18,3.42,有,形态已成
603915,国茂股份,18.74,1.17,2.33,无,形态已成
