年份,交易次数,胜率%,均益%,盈亏比
1991,1,100.0,92.71,0.0
1992,1,100.0,131.1,0.0
1993,4,50.0,-1.54,0.55
1994,21,14.29,-7.7,0.9
1995,18,16.67,-6.04,0.64
1996,31,45.16,4.46,2.28
1997,15,20.0,-3.58,2.05
1998,139,43.17,1.04,1.69
1999,91,19.78,0.5,4.45
2000,121,33.59,0.08,1.85
2001,242,36.89,-2.67,0.74
2002,357,13.93,-4.71,0.56
2003,336,36.2,-1.66,1.01
2004,199,39.7,-1.35,1.03
2005,184,15.51,-4.04,2.85
2006,82,59.04,44.88,8.64
2007,77,61.04,34.88,5.5
2008,56,26.32,11.45,6.99
2009,90,28.89,-2.63,1.24
2010,149,29.53,-2.3,1.32
2011,146,13.7,-4.86,1.55
2012,244,58.7,-0.32,0.62
2013,226,25.99,-1.8,1.89
2014,245,52.24,13.57,4.73
2015,95,37.89,1.32,1.97
2016,159,26.99,-1.85,1.49
2017,381,16.45,-3.46,1.68
2018,127,14.96,-4.77,1.67
2019,135,21.53,-2.48,1.83
2020,215,24.0,-1.17,2.28
2021,264,26.52,-0.46,2.5
2022,287,16.67,-3.02,2.33
2023,369,16.22,-4.43,0.91
2024,184,26.88,-1.39,1.9
2025,391,37.85,1.87,2.56
2026,4,0.0,-4.27,
所有年份总计,5742,29.17,0.01,2.4
