日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-13,002442,6.32,6.22,6.33,6.22,110493,69303096.0,1.74,-1.58,-0.1,2.24
2026-01-14,002442,6.25,6.23,6.31,6.1,125872,78342632.0,3.38,0.16,0.01,2.56
2026-01-15,002442,6.23,6.22,6.28,6.18,71890,44808336.0,1.61,-0.16,-0.01,1.46
2026-01-16,002442,6.27,6.25,6.27,6.19,69073,43042940.0,1.29,0.48,0.03,1.4
2026-01-19,002442,6.22,6.37,6.38,6.22,144812,91550232.0,2.56,1.92,0.12,2.94
2026-01-20,002442,6.38,6.36,6.38,6.31,74774,47411724.0,1.1,-0.16,-0.01,1.52
2026-01-21,002442,6.36,6.4,6.41,6.3,102310,64938576.0,1.73,0.63,0.04,2.08
2026-01-22,002442,6.4,6.46,6.48,6.37,76696,49371628.0,1.72,0.94,0.06,1.56
2026-01-23,002442,6.5,6.49,6.5,6.43,79183,51256032.0,1.08,0.46,0.03,1.61
2026-01-26,002442,6.49,6.45,6.52,6.38,109267,70270840.0,2.16,-0.62,-0.04,2.22
2026-01-27,002442,6.41,6.29,6.43,6.21,108990,68416416.0,3.41,-2.48,-0.16,2.21
2026-01-28,002442,6.27,6.33,6.37,6.22,86107,54306548.0,2.38,0.64,0.04,1.75
2026-01-29,002442,6.32,6.47,6.55,6.25,157230,101242464.0,4.74,2.21,0.14,3.19
2026-01-30,002442,6.4,6.57,6.76,6.32,243752,159368592.0,6.8,1.55,0.1,4.95
2026-02-02,002442,6.52,6.28,6.67,6.26,149169,95740472.0,6.24,-4.41,-0.29,3.03
2026-02-03,002442,6.44,6.33,6.48,6.19,110808,70044296.0,4.62,0.8,0.05,2.25
2026-02-04,002442,6.33,6.51,6.54,6.33,131214,84875928.0,3.32,2.84,0.18,2.66
2026-02-05,002442,6.51,6.42,6.53,6.41,83190,53706860.0,1.84,-1.38,-0.09,1.69
2026-02-06,002442,6.4,6.53,6.6,6.33,111897,72911184.0,4.21,1.71,0.11,2.27
2026-02-09,002442,6.57,6.66,6.71,6.52,120945,80135224.0,2.91,1.99,0.13,2.46
2026-02-10,002442,6.66,6.62,6.68,6.6,74604,49540384.0,1.2,-0.6,-0.04,1.51
2026-02-11,002442,6.64,6.65,6.73,6.58,85127,56801032.0,2.27,0.45,0.03,1.73
2026-02-12,002442,6.65,6.52,6.65,6.51,84151,55211504.0,2.11,-1.95,-0.13,1.71
2026-02-13,002442,6.52,6.37,6.53,6.36,70289,45276552.0,2.61,-2.3,-0.15,1.43
2026-02-24,002442,6.46,6.62,6.62,6.42,104868,68758424.0,3.14,3.92,0.25,2.13
2026-02-25,002442,6.63,6.72,6.79,6.62,127601,85883744.0,2.57,1.51,0.1,2.59
2026-02-26,002442,6.75,6.68,6.76,6.61,90795,60418528.0,2.23,-0.6,-0.04,1.84
2026-02-27,002442,6.69,6.77,6.77,6.64,96442,64680412.0,1.95,1.35,0.09,1.96
2026-03-02,002442,6.74,6.52,6.74,6.48,124714,81753248.0,3.84,-3.69,-0.25,2.53
2026-03-03,002442,6.54,6.34,6.59,6.32,117005,75493848.0,4.14,-2.76,-0.18,2.38
2026-03-04,002442,6.33,6.36,6.58,6.27,116781,74704888.0,4.89,0.32,0.02,2.37
2026-03-05,002442,6.48,6.43,6.6,6.37,109949,70975280.0,3.62,1.1,0.07,2.23
2026-03-06,002442,6.41,6.67,6.68,6.39,116307,76596992.0,4.51,3.73,0.24,2.36
2026-03-09,002442,6.67,6.7,6.83,6.6,171345,114738160.0,3.45,0.45,0.03,3.48
2026-03-10,002442,6.67,6.62,6.71,6.58,125845,83467864.0,1.94,-1.19,-0.08,2.55
2026-03-11,002442,6.63,6.67,6.68,6.56,97135,64319200.0,1.81,0.76,0.05,1.97
2026-03-12,002442,6.68,6.74,6.88,6.68,168292,113893608.0,3.0,1.05,0.07,3.42
2026-03-13,002442,6.74,6.91,6.93,6.72,236555,162119680.0,3.12,2.52,0.17,4.8
2026-03-16,002442,6.83,6.72,6.93,6.64,196005,132106312.0,4.2,-2.75,-0.19,3.98
2026-03-17,002442,6.73,6.57,6.86,6.56,121537,81493504.0,4.46,-2.23,-0.15,2.47
2026-03-18,002442,6.6,6.55,6.61,6.5,87423,57248024.0,1.67,-0.3,-0.02,1.77
2026-03-19,002442,6.56,6.26,6.57,6.23,136325,86900080.0,5.19,-4.43,-0.29,2.77
2026-03-20,002442,8.16,7.88,8.25,7.85,67961,54172568.0,4.9,-3.43,-0.28,2.93
2026-03-23,002442,5.65,5.57,5.83,5.42,189396,106762584.0,7.16,-2.79,-0.16,3.85
2026-03-24,002442,5.69,5.85,5.87,5.45,155164,87618048.0,7.54,5.03,0.28,3.15
2026-03-25,002442,5.81,5.83,5.91,5.79,84585,49488256.0,2.05,-0.34,-0.02,1.72
2026-03-26,002442,5.83,5.81,5.95,5.75,67961,39651272.0,3.43,-0.34,-0.02,1.38
2026-03-27,002442,5.75,5.97,5.98,5.73,94370,55695816.0,4.3,2.75,0.16,1.92
2026-03-30,002442,5.9,5.96,6.06,5.83,82135,48627624.0,3.85,-0.17,-0.01,1.67
2026-03-31,002442,5.93,5.83,6.02,5.82,87293,51792380.0,3.36,-2.18,-0.13,1.77
2026-04-01,002442,5.9,5.91,5.97,5.82,109641,64674412.0,2.57,1.37,0.08,2.23
2026-04-02,002442,5.91,5.81,5.93,5.71,89682,52098136.0,3.72,-1.69,-0.1,1.82
