序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
29,002358,森源电气,7.1,10.08,0.65,160346.0,113845581.9,0.0,7.1,7.1,7.1,6.45,0.32,1.72,34.45,1.97,6601274537.0,6601265484.0,0.0,0.0,38.94,31.0,002358.SZ
30,000949,新乡化纤,6.78,10.06,0.62,735365.0,483029050.72,10.55,6.78,6.13,6.16,6.16,1.22,4.33,64.9,1.74,11528236871.0,11525015293.0,0.0,0.0,54.79,23.27,000949.SZ
31,603001,奥康国际,9.41,10.06,0.86,247321.0,222525973.0,12.05,9.41,8.38,8.55,8.55,2.51,6.17,-13.51,1.59,3773221800.0,3773221800.0,0.0,0.0,11.76,5.14,603001.SS
32,000803,山高环能,9.3,10.06,0.85,286043.0,254746045.92,12.78,9.3,8.22,8.38,8.45,0.85,6.22,61.82,2.95,4336554223.0,4276026354.0,0.0,0.0,38.19,30.07,000803.SZ
34,002606,大连电瓷,10.84,10.05,0.99,381273.0,400667493.58,10.15,10.84,9.84,9.85,9.85,1.33,9.05,30.94,2.62,4759553705.0,4565179876.0,0.0,0.0,20.85,24.03,002606.SZ
35,002546,新联电子,9.09,10.05,0.83,1842551.0,1594692602.29,12.59,9.09,8.05,8.05,8.26,2.08,23.0,10.63,2.02,7581506283.0,7283199753.0,0.0,0.0,31.36,30.04,002546.SZ
36,002319,乐通股份,12.93,10.04,1.18,110289.0,137490609.96,10.55,12.93,11.69,11.82,11.75,1.51,5.51,-4314.82,14.91,2708479554.0,2586000000.0,0.0,0.0,5.55,7.39,002319.SZ
37,002339,积成电子,11.4,10.04,1.04,670840.0,752062283.19,6.95,11.4,10.68,10.77,10.36,1.49,14.01,-56.6,3.33,5746651924.0,5458247086.0,0.0,0.0,38.18,29.25,002339.SZ
38,601179,中国西电,14.36,10.04,1.31,4502275.0,6363439443.0,10.8,14.36,12.95,12.96,13.05,0.83,8.78,58.82,3.25,73607670575.0,73607670575.0,0.0,0.0,104.56,57.8,601179.SS
40,601616,广电电气,5.04,10.04,0.46,1308783.0,650528949.0,7.86,5.04,4.68,4.8,4.58,2.19,15.33,-421.51,1.77,4302523608.0,4302523608.0,0.0,0.0,19.15,30.57,601616.SS
41,601968,宝钢包装,6.14,10.04,0.56,336387.0,198129635.0,10.57,6.14,5.55,5.57,5.58,1.86,2.64,33.43,1.74,7833285884.0,7833285884.0,0.0,0.0,14.34,14.98,601968.SS
42,600189,泉阳泉,8.11,10.04,0.74,327989.0,263249082.0,6.24,8.11,7.65,7.65,7.37,1.55,4.59,176.31,4.69,5800254255.0,5800254255.0,0.0,0.0,13.43,17.37,600189.SS
44,600550,保变电气,15.69,10.03,1.43,3624185.0,5520916203.0,15.08,15.69,13.54,13.86,14.26,1.35,19.68,148.49,36.91,28893581851.0,28893581851.0,0.0,0.0,90.18,48.72,600550.SS
47,600372,中航机载,15.81,10.02,1.44,1743667.0,2658823673.0,10.44,15.81,14.31,14.35,14.37,0.87,3.6,57.98,2.0,76502955720.0,76502955720.0,0.0,0.0,30.99,17.81,600372.SS
49,601965,中国汽研,18.89,10.02,1.72,244335.0,459387030.0,3.73,18.89,18.25,18.51,17.17,2.6,2.45,17.87,2.42,18947706815.0,18859884183.0,0.0,0.0,10.99,13.8,601965.SS
52,001376,百通能源,19.76,10.02,1.8,250719.0,478176000.46,11.8,19.76,17.64,17.96,17.96,1.09,11.73,51.6,7.79,9107384000.0,4223755585.0,0.0,0.0,51.07,17.34,001376.SZ
57,002258,利尔化学,16.38,10.01,1.49,400691.0,635076368.19,9.74,16.38,14.93,14.98,14.89,1.16,5.01,25.79,1.68,13111161795.0,13090082651.0,0.0,0.0,35.04,25.52,002258.SZ
58,600230,沧州大化,16.5,10.0,1.5,251078.0,399914096.0,10.33,16.5,14.95,15.03,15.0,1.67,6.07,107.57,1.7,6830356748.0,6830356748.0,0.0,0.0,33.06,8.13,600230.SS
64,000987,越秀资本,10.34,10.0,0.94,738021.0,753616733.78,4.26,10.34,9.94,10.0,9.4,0.28,1.47,12.93,1.64,51877149657.0,51849156299.0,0.0,0.0,25.03,27.03,000987.SZ
66,002163,海南发展,18.59,10.0,1.69,1081404.0,1934730959.33,8.88,18.59,17.09,17.21,16.9,0.95,13.46,-32.29,22.3,15707766748.0,14937973586.0,0.0,0.0,71.34,-22.02,002163.SZ
74,600302,标准股份,13.31,10.0,1.21,335529.0,420008394.0,12.98,13.31,11.74,12.04,12.1,1.56,9.7,-75.11,7.76,4605390491.0,4605390491.0,0.0,0.0,79.62,26.88,600302.SS
78,603861,白云电器,16.06,10.0,1.46,567557.0,883588378.0,13.15,16.06,14.14,14.14,14.6,1.54,10.74,43.82,2.18,8680878957.0,8489098837.0,0.0,0.0,36.45,31.96,603861.SS
82,000506,招金黄金,15.97,9.99,1.45,663150.0,1029714315.07,7.78,15.97,14.84,14.85,14.52,1.55,7.14,135.43,23.17,14836413643.0,14829492245.0,0.0,0.0,28.07,22.28,000506.SZ
85,600382,广东明珠,8.48,9.99,0.77,546702.0,454016302.0,10.38,8.48,7.68,7.73,7.71,2.43,7.87,18.9,2.17,5888580595.0,5888580595.0,0.0,0.0,22.37,22.19,600382.SS
95,002201,九鼎新材,12.67,9.98,1.15,661949.0,818820042.77,11.11,12.67,11.39,11.48,11.52,0.58,11.0,81.98,7.13,8256231173.0,7627636731.0,0.0,0.0,55.08,11.04,002201.SZ
96,600774,汉商集团,10.58,9.98,0.96,176849.0,178441421.0,11.02,10.58,9.52,9.57,9.62,3.48,6.0,251.04,1.87,3121442813.0,3119429746.0,0.0,0.0,6.33,15.75,600774.SS
98,600268,国电南自,13.46,9.97,1.22,1242747.0,1635665585.0,12.01,13.46,11.99,12.0,12.24,1.67,12.29,48.69,3.98,13673620672.0,13605790281.0,0.0,0.0,11.79,28.44,600268.SS
